date,Cls,start_time,max_time,end_time
2011-08-09,X6.9,2011-08-09 07:48,2011-08-09 08:05,2011-08-09 08:08
2011-02-15,X2.2,2011-02-15 01:44,2011-02-15 01:56,2011-02-15 02:06
2011-09-06,X2.1,2011-09-06 22:12,2011-09-06 22:20,2011-09-06 22:24
2011-09-24,X1.9,2011-09-24 09:21,2011-09-24 09:40,2011-09-24 09:48
2011-11-03,X1.9,2011-11-03 20:16,2011-11-03 20:27,2011-11-03 20:32
2011-09-07,X1.8,2011-09-07 22:32,2011-09-07 22:38,2011-09-07 22:44
2011-03-09,X1.5,2011-03-09 23:13,2011-03-09 23:23,2011-03-09 23:29
2011-09-22,X1.4,2011-09-22 10:29,2011-09-22 11:01,2011-09-22 11:44
2011-07-30,M9.3,2011-07-30 02:04,2011-07-30 02:09,2011-07-30 02:12
2011-08-04,M9.3,2011-08-04 03:41,2011-08-04 03:57,2011-08-04 04:04
2011-09-25,M7.4,2011-09-25 04:31,2011-09-25 04:50,2011-09-25 05:05
2011-09-24,M7.1,2011-09-24 12:33,2011-09-24 13:20,2011-09-24 14:10
2011-09-08,M6.7,2011-09-08 15:32,2011-09-08 15:46,2011-09-08 15:52
2011-02-13,M6.6,2011-02-13 17:28,2011-02-13 17:38,2011-02-13 17:47
2011-02-18,M6.6,2011-02-18 09:55,2011-02-18 10:11,2011-02-18 10:15
2011-08-03,M6,2011-08-03 13:17,2011-08-03 13:48,2011-08-03 14:10
2011-09-24,M5.8,2011-09-24 20:29,2011-09-24 20:36,2011-09-24 20:42
2011-03-08,M5.3,2011-03-08 10:35,2011-03-08 10:44,2011-03-08 10:55
2011-09-06,M5.3,2011-09-06 01:35,2011-09-06 01:50,2011-09-06 02:05
2011-03-08,M4.4,2011-03-08 18:08,2011-03-08 18:28,2011-03-08 18:41
2011-09-25,M4.4,2011-09-25 02:27,2011-09-25 02:33,2011-09-25 02:37
2011-11-02,M4.3,2011-11-02 21:52,2011-11-02 22:01,2011-11-02 22:19
2011-03-14,M4.2,2011-03-14 19:30,2011-03-14 19:52,2011-03-14 19:54
2011-09-26,M4,2011-09-26 05:06,2011-09-26 05:08,2011-09-26 05:13
2011-12-25,M4,2011-12-25 18:11,2011-12-25 18:16,2011-12-25 18:20
2011-10-02,M3.9,2011-10-02 00:37,2011-10-02 00:50,2011-10-02 00:59
2011-03-07,M3.7,2011-03-07 19:43,2011-03-07 20:12,2011-03-07 20:58
2011-09-25,M3.7,2011-09-25 15:26,2011-09-25 15:33,2011-09-25 15:38
2011-11-05,M3.7,2011-11-05 03:08,2011-11-05 03:35,2011-11-05 03:58
2011-02-24,M3.5,2011-02-24 07:23,2011-02-24 07:35,2011-02-24 07:42
2011-08-08,M3.5,2011-08-08 18:00,2011-08-08 18:10,2011-08-08 18:18
2011-09-04,M3.2,2011-09-04 11:21,2011-09-04 11:45,2011-09-04 11:50
2011-09-24,M3.1,2011-09-24 17:19,2011-09-24 17:25,2011-09-24 17:31
2011-09-25,M3.1,2011-09-25 08:46,2011-09-25 08:49,2011-09-25 08:52
2011-09-24,M3,2011-09-24 19:09,2011-09-24 19:21,2011-09-24 19:41
2011-09-24,M2.8,2011-09-24 17:59,2011-09-24 18:15,2011-09-24 18:24
2011-09-09,M2.7,2011-09-09 06:01,2011-09-09 06:11,2011-09-09 06:17
2011-09-26,M2.6,2011-09-26 14:37,2011-09-26 14:46,2011-09-26 15:02
2011-06-07,M2.5,2011-06-07 06:16,2011-06-07 06:41,2011-06-07 06:59
2011-08-09,M2.5,2011-08-09 03:19,2011-08-09 03:54,2011-08-09 04:08
2011-11-03,M2.5,2011-11-03 10:58,2011-11-03 11:11,2011-11-03 11:20
2011-12-31,M2.4,2011-12-31 13:09,2011-12-31 13:15,2011-12-31 13:19
2011-12-26,M2.3,2011-12-26 20:12,2011-12-26 20:30,2011-12-26 20:36
2011-02-14,M2.2,2011-02-14 17:20,2011-02-14 17:26,2011-02-14 17:32
2011-09-25,M2.2,2011-09-25 16:51,2011-09-25 16:58,2011-09-25 17:09
2011-11-03,M2.1,2011-11-03 23:28,2011-11-03 23:36,2011-11-03 23:44
2011-12-29,M2,2011-12-29 21:43,2011-12-29 21:51,2011-12-29 21:59
2011-02-09,M1.9,2011-02-09 01:23,2011-02-09 01:31,2011-02-09 01:35
