lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
37.1,-77.95,127.41,20.93,0.000231631,2011-02-15 01:56:00.000000,2011-02-15 01:48:48.610000,2011-02-15 01:50:36.739949,108.13,1_bks
37.93,-75.47,78.13,18.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:24.300319,102.78,2_wal
38.86,-99.39,59.88,17.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:20.127879,98.61,2_fhe
38.86,-99.39,59.88,17.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:03.100987,81.58,2_fhw
43.27,-120.36,48.09,15.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:24.632685,103.11,2_cve
43.27,-120.36,48.09,15.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:17:59.568504,78.05,2_cvw
49.39,-82.32,74.19,18.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:07.010551,85.49,2_kap
52.16,-106.53,60.79,16.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:17:57.774276,76.25,2_sas
53.98,-122.59,54.53,15.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:17:21.052237,39.53,2_pgr
43.27,-120.36,130.99,2.67,0.00019117,2011-09-24 09:40:00,2011-09-24 09:35:05.937000,2011-09-24 09:38:52.751286,226.81,3_cvw
37.93,-75.47,74.17,16.45,0.00020418200000000002,2011-11-03 20:27:00,2011-11-03 20:19:37.403000,2011-11-03 20:22:30.333478,172.93,4_wal
38.86,-99.39,61.47,15.45,0.000204182,2011-11-03 20:27:00,2011-11-03 20:19:37.403000,2011-11-03 20:21:30.361790,112.96,4_fhe
38.86,-99.39,61.47,15.45,0.00020418200000000002,2011-11-03 20:27:00,2011-11-03 20:19:37.403000,2011-11-03 20:21:05.385789,87.98,4_fhw
43.27,-120.36,59.18,13.45,0.000204182,2011-11-03 20:27:00,2011-11-03 20:19:37.403000,2011-11-03 20:21:15.049726,97.65,4_cve
43.27,-120.36,59.18,13.45,0.00020418200000000002,2011-11-03 20:27:00,2011-11-03 20:19:37.403000,2011-11-03 20:21:38.210644,120.81,4_cvw
49.39,-82.32,77.36,16.45,0.000204182,2011-11-03 20:27:00,2011-11-03 20:19:37.403000,2011-11-03 20:21:18.183915,100.78,4_kap
52.16,-106.53,70.49,14.45,0.00020418200000000002,2011-11-03 20:27:00,2011-11-03 20:19:37.403000,2011-11-03 20:20:48.745497,71.34,4_sas
53.98,-122.59,69.45,13.45,0.000204182,2011-11-03 20:27:00,2011-11-03 20:19:37.403000,2011-11-03 20:21:18.016766,100.61,4_pgr
37.93,-75.47,81.95,18.63,0.00018487400000000002,2011-09-07 22:38:00,2011-09-07 22:35:41.990000,2011-09-07 22:36:36.493077,54.5,5_wal
38.86,-99.39,63.56,17.63,0.000184874,2011-09-07 22:38:00,2011-09-07 22:35:41.990000,2011-09-07 22:36:33.035631,51.05,5_fhe
38.86,-99.39,63.56,17.63,0.00018487400000000002,2011-09-07 22:38:00,2011-09-07 22:35:41.990000,2011-09-07 22:36:17.611188,35.62,5_fhw
43.27,-120.36,51.05,15.63,0.000184874,2011-09-07 22:38:00,2011-09-07 22:35:41.990000,2011-09-07 22:36:31.357230,49.37,5_cve
43.27,-120.36,51.05,15.63,0.00018487400000000002,2011-09-07 22:38:00,2011-09-07 22:35:41.990000,2011-09-07 22:36:24.236977,42.25,5_cvw
49.39,-82.32,77.43,18.63,0.000184874,2011-09-07 22:38:00,2011-09-07 22:35:41.990000,2011-09-07 22:36:52.274660,70.28,5_kap
52.16,-106.53,63.56,16.63,0.00018487400000000002,2011-09-07 22:38:00,2011-09-07 22:35:41.990000,2011-09-07 22:36:21.226439,39.24,5_sas
53.98,-122.59,56.74,15.63,0.000184874,2011-09-07 22:38:00,2011-09-07 22:35:41.990000,2011-09-07 22:35:57.088456,15.1,5_pgr
43.27,-120.36,64.1,15.38,0.000158033,2011-03-09 23:23:00,2011-03-09 23:17:43.213000,2011-03-09 23:20:56.709932,193.5,6_cve
43.27,-120.36,64.1,15.38,0.000158033,2011-03-09 23:23:00,2011-03-09 23:17:43.213000,2011-03-09 23:20:19.796435,156.58,6_cvw
52.16,-106.53,76.56,17.38,0.000158033,2011-03-09 23:23:00,2011-03-09 23:17:43.213000,2011-03-09 23:21:27.275582,224.06,6_sas
53.98,-122.59,69.49,15.38,0.000158033,2011-03-09 23:23:00,2011-03-09 23:17:43.213000,2011-03-09 23:19:51.389611,128.18,6_pgr
38.86,-99.39,106.99,6.02,0.000149009,2011-09-22 11:01:00,2011-09-22 10:24:01.467000,2011-09-22 10:57:41.125566,2019.66,7_fhe
43.27,-120.36,119.69,4.02,0.000149009,2011-09-22 11:01:00,2011-09-22 10:24:01.467000,2011-09-22 10:44:31.645913,1230.18,7_cve
43.27,-120.36,119.69,4.02,0.000149009,2011-09-22 11:01:00,2011-09-22 10:24:01.467000,2011-09-22 10:48:59.932333,1498.47,7_cvw
53.32,-60.46,79.81,8.02,0.000149009,2011-09-22 11:01:00,2011-09-22 10:24:01.467000,2011-09-22 10:39:33.273722,931.81,7_gbr
43.27,-120.36,77.48,19.15,9.587290000000004e-05,2011-07-30 02:09:00,2011-07-30 02:07:43.313000,2011-07-30 02:08:17.368280,34.06,8_cvw
53.98,-122.59,113.77,21.83,7.49184e-05,2011-09-25 04:50:00,2011-09-25 04:30:56.197000,2011-09-25 04:46:27.008459,930.81,10_pgr
37.93,-75.47,62.31,9.33,7.12669e-05,2011-09-24 13:20:00,2011-09-24 12:40:01.800000,2011-09-24 12:49:28.333078,566.53,11_wal
38.86,-99.39,80.44,8.33,7.12669e-05,2011-09-24 13:20:00,2011-09-24 12:40:01.800000,2011-09-24 12:47:40.662178,458.86,11_fhe
53.32,-60.46,62.51,10.33,7.12669e-05,2011-09-24 13:20:00,2011-09-24 12:40:01.800000,2011-09-24 12:48:26.076350,504.28,11_gbr
37.93,-75.47,36.35,11.77,6.76783e-05,2011-09-08 15:46:00,2011-09-08 15:37:38.167000,2011-09-08 15:39:39.537252,121.37,12_wal
38.86,-99.39,50.58,10.77,6.76783e-05,2011-09-08 15:46:00,2011-09-08 15:37:38.167000,2011-09-08 15:40:30.309563,172.14,12_fhe
