lat,lon,sza,lt,fmax,event,dt,pk
37.1,-77.95,127.41,20.93,0.000231631,2011-02-15 01:56:00,-290,1_bks
37.93,-75.47,78.13,18.33,0.00021585,2011-09-06 22:20:00,-68,2_wal
38.86,-99.39,59.88,17.33,0.00021585,2011-09-06 22:20:00,-96,2_fhe
38.86,-99.39,59.88,17.33,0.00021585,2011-09-06 22:20:00,-108,2_fhw
43.27,-120.36,48.09,15.33,0.00021585,2011-09-06 22:20:00,-96,2_cve
43.27,-120.36,48.09,15.33,0.00021585,2011-09-06 22:20:00,-136,2_cvw
49.39,-82.32,74.19,18.33,0.00021585,2011-09-06 22:20:00,-4,2_kap
52.16,-106.53,60.79,16.33,0.00021585,2011-09-06 22:20:00,-106,2_sas
53.98,-122.59,54.53,15.33,0.00021585,2011-09-06 22:20:00,-184,2_pgr
43.27,-120.36,130.99,2.67,0.00019117,2011-09-24 09:40:00,360,3_cvw
37.93,-75.47,74.17,16.45,0.00020418200000000002,2011-11-03 20:27:00,-12,4_wal
38.86,-99.39,61.47,15.45,0.000204182,2011-11-03 20:27:00,-128,4_fhe
38.86,-99.39,61.47,15.45,0.00020418200000000002,2011-11-03 20:27:00,-140,4_fhw
43.27,-120.36,59.18,13.45,0.000204182,2011-11-03 20:27:00,-140,4_cve
43.27,-120.36,59.18,13.45,0.00020418200000000002,2011-11-03 20:27:00,-98,4_cvw
49.39,-82.32,77.36,16.45,0.000204182,2011-11-03 20:27:00,-94,4_kap
52.16,-106.53,70.49,14.45,0.00020418200000000002,2011-11-03 20:27:00,-4,4_sas
53.98,-122.59,69.45,13.45,0.000204182,2011-11-03 20:27:00,-100,4_pgr
37.93,-75.47,81.95,18.63,0.00018487400000000002,2011-09-07 22:38:00,-40,5_wal
38.86,-99.39,63.56,17.63,0.000184874,2011-09-07 22:38:00,-72,5_fhe
38.86,-99.39,63.56,17.63,0.00018487400000000002,2011-09-07 22:38:00,-98,5_fhw
43.27,-120.36,51.05,15.63,0.000184874,2011-09-07 22:38:00,-80,5_cve
43.27,-120.36,51.05,15.63,0.00018487400000000002,2011-09-07 22:38:00,-90,5_cvw
49.39,-82.32,77.43,18.63,0.000184874,2011-09-07 22:38:00,-28,5_kap
52.16,-106.53,63.56,16.63,0.00018487400000000002,2011-09-07 22:38:00,-102,5_sas
53.98,-122.59,56.74,15.63,0.000184874,2011-09-07 22:38:00,-146,5_pgr
43.27,-120.36,64.1,15.38,0.000158033,2011-03-09 23:23:00,-56,6_cve
43.27,-120.36,64.1,15.38,0.000158033,2011-03-09 23:23:00,-106,6_cvw
52.16,-106.53,76.56,17.38,0.000158033,2011-03-09 23:23:00,-4,6_sas
53.98,-122.59,69.49,15.38,0.000158033,2011-03-09 23:23:00,-130,6_pgr
38.86,-99.39,106.99,6.02,0.000149009,2011-09-22 11:01:00,-360,7_fhe
43.27,-120.36,119.69,4.02,0.000149009,2011-09-22 11:01:00,-360,7_cve
43.27,-120.36,119.69,4.02,0.000149009,2011-09-22 11:01:00,-360,7_cvw
53.32,-60.46,79.81,8.02,0.000149009,2011-09-22 11:01:00,-198,7_gbr
43.27,-120.36,77.48,19.15,9.587290000000004e-05,2011-07-30 02:09:00,-2,8_cvw
53.98,-122.59,73.84,19.15,9.587290000000004e-05,2011-07-30 02:09:00,-38,8_pgr
53.98,-122.59,113.77,21.83,7.49184e-05,2011-09-25 04:50:00,36,10_pgr
37.93,-75.47,62.31,9.33,7.12669e-05,2011-09-24 13:20:00,202,11_wal
38.86,-99.39,80.44,8.33,7.12669e-05,2011-09-24 13:20:00,314,11_fhe
53.32,-60.46,62.51,10.33,7.12669e-05,2011-09-24 13:20:00,38,11_gbr
37.93,-75.47,36.35,11.77,6.76783e-05,2011-09-08 15:46:00,-152,12_wal
38.86,-99.39,50.58,10.77,6.76783e-05,2011-09-08 15:46:00,-120,12_fhe
38.86,-99.39,50.58,10.77,6.76783e-05,2011-09-08 15:46:00,-60,12_fhw
43.27,-120.36,66.81,8.77,6.76783e-05,2011-09-08 15:46:00,-16,12_cve
43.27,-120.36,66.81,8.77,6.76783e-05,2011-09-08 15:46:00,82,12_cvw
49.39,-82.32,48.64,11.77,6.76783e-05,2011-09-08 15:46:00,-180,12_kap
52.16,-106.53,61.64,9.77,6.76783e-05,2011-09-08 15:46:00,-40,12_sas
53.98,-122.59,71.16,8.77,6.76783e-05,2011-09-08 15:46:00,-32,12_pgr
37.1,-77.95,50.46,12.63,6.696479999999999e-05,2011-02-13 17:38:00,-108,13_bks
38.86,-99.39,54.91,11.63,6.696479999999999e-05,2011-02-13 17:38:00,-82,13_fhe
38.86,-99.39,54.91,11.63,6.696479999999999e-05,2011-02-13 17:38:00,-148,13_fhw
43.27,-120.36,67.02,9.63,6.696479999999999e-05,2011-02-13 17:38:00,68,13_cve
49.39,-82.32,62.67,12.63,6.696479999999999e-05,2011-02-13 17:38:00,-120,13_kap
52.16,-106.53,69.06,11.63,6.696479999999999e-05,2011-02-13 17:38:00,-14,13_sas
53.98,-122.59,75.96,9.63,6.696479999999999e-05,2011-02-13 17:38:00,-4,13_pgr
37.93,-75.47,48.07,9.8,6.09628e-05,2011-08-03 13:48:00,-216,15_wal
38.86,-99.39,66.76,8.8,6.09628e-05,2011-08-03 13:48:00,-262,15_fhe
38.86,-99.39,66.76,8.8,6.09628e-05,2011-08-03 13:48:00,-204,15_fhw
43.27,-120.36,81.47,6.8,6.09628e-05,2011-08-03 13:48:00,-30,15_cve
49.39,-82.32,55.41,9.8,6.09628e-05,2011-08-03 13:48:00,-360,15_kap
52.16,-106.53,70.81,7.8,6.09628e-05,2011-08-03 13:48:00,-78,15_sas
53.98,-122.59,79.93,6.8,6.09628e-05,2011-08-03 13:48:00,58,15_pgr
37.93,-75.47,63.85,16.6,5.9074e-05,2011-09-24 20:36:00,-8,16_wal
38.86,-99.39,48.92,15.6,5.9074e-05,2011-09-24 20:36:00,216,16_fhe
38.86,-99.39,48.92,15.6,5.9074e-05,2011-09-24 20:36:00,-122,16_fhw
43.27,-120.36,44.86,13.6,5.9074e-05,2011-09-24 20:36:00,-52,16_cve
43.27,-120.36,44.86,13.6,5.9074e-05,2011-09-24 20:36:00,-32,16_cvw
53.32,-60.46,78.91,17.6,5.9074e-05,2011-09-24 20:36:00,-144,16_gbr
52.16,-106.53,56.58,14.6,5.9074e-05,2011-09-24 20:36:00,242,16_sas
53.98,-122.59,54.98,13.6,5.9074e-05,2011-09-24 20:36:00,-360,16_pgr
49.39,-82.32,106.75,21.83,5.3911499999999994e-05,2011-09-06 01:50:00,-360,18_kap
37.93,-75.47,46.16,13.47,4.46567e-05,2011-03-08 18:28:00,-214,19_wal
37.1,-77.95,44.58,13.47,4.46567e-05,2011-03-08 18:28:00,-222,19_bks
43.27,-120.36,53.51,10.47,4.46567e-05,2011-03-08 18:28:00,-152,19_cve
43.27,-120.36,53.51,10.47,4.46567e-05,2011-03-08 18:28:00,176,19_cvw
38.86,-99.39,74.2,17.02,4.341850000000001e-05,2011-11-02 22:01:00,-74,21_fhw
43.27,-120.36,65.9,15.02,4.341850000000001e-05,2011-11-02 22:01:00,46,21_cve
52.16,-106.53,78.64,16.02,4.341850000000001e-05,2011-11-02 22:01:00,-360,21_sas
37.93,-75.47,54.83,15.87,4.42789e-05,2011-03-14 19:52:00,-32,22_wal
37.1,-77.95,52.78,15.87,4.42789e-05,2011-03-14 19:52:00,92,22_bks
38.86,-99.39,43.92,14.87,4.42789e-05,2011-03-14 19:52:00,-6,22_fhe
38.86,-99.39,43.92,14.87,4.42789e-05,2011-03-14 19:52:00,-4,22_fhw
43.27,-120.36,45.88,12.87,4.42789e-05,2011-03-14 19:52:00,-2,22_cve
43.27,-120.36,45.88,12.87,4.42789e-05,2011-03-14 19:52:00,-2,22_cvw
49.39,-82.32,59.25,15.87,4.42789e-05,2011-03-14 19:52:00,102,22_kap
52.16,-106.53,55.11,13.87,4.42789e-05,2011-03-14 19:52:00,-2,22_sas
53.98,-122.59,56.68,12.87,4.42789e-05,2011-03-14 19:52:00,-4,22_pgr
38.86,-99.39,62.42,12.27,4.16557e-05,2011-12-25 18:16:00,-360,24_fhe
49.39,-82.32,73.46,13.27,4.1655699999999995e-05,2011-12-25 18:16:00,348,24_kap
52.16,-106.53,76.28,12.27,4.16557e-05,2011-12-25 18:16:00,360,24_sas
37.93,-75.47,115.18,20.83,3.95361e-05,2011-10-02 00:50:00,-360,25_wal
53.32,-60.46,117.78,21.83,3.95361e-05,2011-10-02 00:50:00,-112,25_gbr
37.93,-75.47,59.82,15.2,3.73116e-05,2011-03-07 20:12:00,-150,26_wal
37.1,-77.95,57.75,15.2,3.73116e-05,2011-03-07 20:12:00,-354,26_bks
49.39,-82.32,63.67,15.2,3.73116e-05,2011-03-07 20:12:00,-122,26_kap
52.16,-106.53,58.48,14.2,3.73116e-05,2011-03-07 20:12:00,-360,26_sas
53.98,-122.59,59.16,12.2,3.73116e-05,2011-03-07 20:12:00,-162,26_pgr
37.93,-75.47,43.03,11.55,3.8214e-05,2011-09-25 15:33:00,-18,27_wal
38.86,-99.39,56.63,10.55,3.8214000000000004e-05,2011-09-25 15:33:00,224,27_fhe
38.86,-99.39,56.63,10.55,3.8214e-05,2011-09-25 15:33:00,346,27_fhw
53.32,-60.46,54.35,12.55,3.8214000000000004e-05,2011-09-25 15:33:00,-118,27_gbr
49.39,-82.32,55.36,11.55,3.8214e-05,2011-09-25 15:33:00,230,27_kap
52.16,-106.53,68.12,9.55,3.8214000000000004e-05,2011-09-25 15:33:00,-346,27_sas
37.93,-75.47,25.81,14.17,3.53337e-05,2011-08-08 18:10:00,-288,30_wal
38.86,-99.39,23.91,13.17,3.53337e-05,2011-08-08 18:10:00,-180,30_fhe
38.86,-99.39,23.91,13.17,3.53337e-05,2011-08-08 18:10:00,-216,30_fhw
43.27,-120.36,36.85,11.17,3.53337e-05,2011-08-08 18:10:00,-280,30_cve
43.27,-120.36,36.85,11.17,3.53337e-05,2011-08-08 18:10:00,-134,30_cvw
52.16,-106.53,38.09,12.17,3.53337e-05,2011-08-08 18:10:00,-212,30_sas
53.98,-122.59,45.09,11.17,3.53337e-05,2011-08-08 18:10:00,-210,30_pgr
49.39,-82.32,81.74,7.75,3.28468e-05,2011-09-04 11:45:00,-312,31_kap
37.93,-75.47,39.1,13.42,3.1902399999999995e-05,2011-09-24 17:25:00,-192,32_wal
38.86,-99.39,42.07,12.42,3.1902399999999995e-05,2011-09-24 17:25:00,-180,32_fhe
38.86,-99.39,42.07,12.42,3.1902399999999995e-05,2011-09-24 17:25:00,-222,32_fhw
49.39,-82.32,49.9,13.42,3.1902399999999995e-05,2011-09-24 17:25:00,-236,32_kap
52.16,-106.53,56.18,11.42,3.1902399999999995e-05,2011-09-24 17:25:00,-142,32_sas
37.93,-75.47,51.24,15.35,3.09581e-05,2011-09-24 19:21:00,-144,34_wal
38.86,-99.39,41.13,14.35,3.09581e-05,2011-09-24 19:21:00,-130,34_fhe
38.86,-99.39,41.13,14.35,3.09581e-05,2011-09-24 19:21:00,-142,34_fhw
43.27,-120.36,44.41,12.35,3.09581e-05,2011-09-24 19:21:00,-152,34_cve
43.27,-120.36,44.41,12.35,3.09581e-05,2011-09-24 19:21:00,-2,34_cvw
52.16,-106.53,52.92,13.35,3.09581e-05,2011-09-24 19:21:00,-360,34_sas
53.98,-122.59,55.18,12.35,3.09581e-05,2011-09-24 19:21:00,-360,34_pgr
38.86,-99.39,39.53,13.25,2.86286e-05,2011-09-24 18:15:00,-112,35_fhe
38.86,-99.39,39.53,13.25,2.8628600000000002e-05,2011-09-24 18:15:00,-150,35_fhw
43.27,-120.36,49.03,11.25,2.86286e-05,2011-09-24 18:15:00,-116,35_cve
49.39,-82.32,51.23,14.25,2.8628600000000002e-05,2011-09-24 18:15:00,-112,35_kap
52.16,-106.53,53.46,12.25,2.86286e-05,2011-09-24 18:15:00,-110,35_sas
37.93,-75.47,48.95,10.77,2.6425100000000002e-05,2011-09-26 14:46:00,-64,37_wal
38.86,-99.39,64.85,9.77,2.64251e-05,2011-09-26 14:46:00,-154,37_fhe
43.27,-120.36,81.15,7.77,2.6425100000000002e-05,2011-09-26 14:46:00,-222,37_cvw
53.32,-60.46,56.33,11.77,2.64251e-05,2011-09-26 14:46:00,-186,37_gbr
52.16,-106.53,74.74,8.77,2.6425100000000002e-05,2011-09-26 14:46:00,-32,37_sas
37.93,-75.47,114.93,2.68,2.55542e-05,2011-06-07 06:41:00,216,38_wal
43.27,-120.36,111.54,23.68,2.55542e-05,2011-06-07 06:41:00,196,38_cve
53.98,-122.59,100.98,23.68,2.55542e-05,2011-06-07 06:41:00,278,38_pgr
52.16,-106.53,99.58,21.9,2.56381e-05,2011-08-09 03:54:00,52,39_sas
37.93,-75.47,94.29,7.18,2.60054e-05,2011-11-03 11:11:00,324,40_wal
37.1,-77.95,50.04,12.43,2.32352e-05,2011-02-14 17:26:00,-26,43_bks
38.86,-99.39,55.53,11.43,2.32352e-05,2011-02-14 17:26:00,176,43_fhe
38.86,-99.39,55.53,11.43,2.32352e-05,2011-02-14 17:26:00,-152,43_fhw
49.39,-82.32,62.44,12.43,2.32352e-05,2011-02-14 17:26:00,160,43_kap
52.16,-106.53,69.6,11.43,2.32352e-05,2011-02-14 17:26:00,-48,43_sas
53.98,-122.59,76.85,9.43,2.32352e-05,2011-02-14 17:26:00,156,43_pgr
37.93,-75.47,38.84,12.97,2.2406300000000006e-05,2011-09-25 16:58:00,-48,44_wal
38.86,-99.39,44.94,11.97,2.2406300000000006e-05,2011-09-25 16:58:00,-46,44_fhe
38.86,-99.39,44.94,11.97,2.2406300000000006e-05,2011-09-25 16:58:00,-264,44_fhw
53.32,-60.46,55.84,13.97,2.2406300000000006e-05,2011-09-25 16:58:00,-132,44_gbr
49.39,-82.32,50.52,12.97,2.2406300000000006e-05,2011-09-25 16:58:00,-104,44_kap
37.1,-77.95,107.08,19.6,2.18292e-05,2011-11-03 23:36:00,-360,45_bks
53.32,-60.46,106.56,17.85,2.09583e-05,2011-12-29 21:51:00,326,46_gbr
38.86,-99.39,106.79,19.52,1.95417e-05,2011-02-09 01:31:00,-360,47_fhw
37.93,-75.47,57.38,9.5,1.98985e-05,2011-03-07 14:30:00,20,48_wal
37.1,-77.95,58.41,9.5,1.98985e-05,2011-03-07 14:30:00,156,48_bks
52.16,-106.53,83.08,8.5,1.98985e-05,2011-03-07 14:30:00,358,48_sas
53.98,-122.59,93.0,6.5,1.98985e-05,2011-03-07 14:30:00,-134,48_pgr
37.93,-75.47,59.6,13.62,0.00017983799999999998,2012-01-27 18:37:00,32,52_wal
37.1,-77.95,58.11,13.62,0.00017983799999999998,2012-01-27 18:37:00,230,52_bks
38.86,-99.39,57.38,12.62,0.00017983799999999998,2012-01-27 18:37:00,80,52_fhe
38.86,-99.39,57.38,12.62,0.00017983799999999998,2012-01-27 18:37:00,248,52_fhw
43.27,-120.36,65.61,10.62,0.00017983799999999998,2012-01-27 18:37:00,222,52_cve
43.27,-120.36,65.61,10.62,0.00017983799999999998,2012-01-27 18:37:00,360,52_cvw
53.32,-60.46,78.0,14.62,0.00017983799999999998,2012-01-27 18:37:00,-64,52_gbr
49.39,-82.32,68.9,13.62,0.00017983799999999998,2012-01-27 18:37:00,32,52_kap
52.16,-106.53,71.16,12.62,0.00017983799999999998,2012-01-27 18:37:00,160,52_sas
37.93,-75.47,16.58,12.82,0.000142294,2012-07-12 16:49:00,-228,53_wal
37.1,-77.95,16.46,12.82,0.000142294,2012-07-12 16:49:00,-22,53_bks
38.86,-99.39,29.74,11.82,0.000142294,2012-07-12 16:49:00,-216,53_fhe
43.27,-120.36,46.07,9.82,0.000142294,2012-07-12 16:49:00,246,53_cve
43.27,-120.36,46.07,9.82,0.000142294,2012-07-12 16:49:00,306,53_cvw
52.16,-106.53,40.86,10.82,0.000142294,2012-07-12 16:49:00,-56,53_sas
53.98,-122.59,50.29,9.82,0.000142294,2012-07-12 16:49:00,30,53_pgr
37.93,-75.47,144.8,23.15,0.00011417299999999999,2012-03-05 04:09:00,-360,55_wal
38.86,-99.39,131.14,22.15,0.000114173,2012-03-05 04:09:00,-360,55_fhw
49.39,-82.32,132.41,23.15,0.00011417299999999999,2012-03-05 04:09:00,-360,55_kap
52.16,-106.53,119.76,22.15,0.000114173,2012-03-05 04:09:00,94,55_sas
53.98,-122.59,110.3,20.15,0.00011417299999999999,2012-03-05 04:09:00,360,55_pgr
38.86,-99.39,58.05,18.13,0.000113963,2012-07-06 23:08:00,-114,56_fhe
38.86,-99.39,58.05,18.13,0.00011396299999999999,2012-07-06 23:08:00,-298,56_fhw
43.27,-120.36,42.68,16.13,0.000113963,2012-07-06 23:08:00,-276,56_cve
43.27,-120.36,42.68,16.13,0.00011396299999999999,2012-07-06 23:08:00,-288,56_cvw
49.39,-82.32,68.87,19.13,0.000113963,2012-07-06 23:08:00,-210,56_kap
52.16,-106.53,53.63,17.13,0.00011396299999999999,2012-07-06 23:08:00,-236,56_sas
53.98,-122.59,45.05,16.13,0.000113963,2012-07-06 23:08:00,-216,56_pgr
37.1,-77.95,51.11,14.23,9.150790000000001e-05,2012-10-20 18:14:00,-170,57_bks
38.86,-99.39,49.56,13.23,9.15079e-05,2012-10-20 18:14:00,-132,57_fhe
38.86,-99.39,49.56,13.23,9.150790000000001e-05,2012-10-20 18:14:00,-82,57_fhw
43.27,-120.36,57.87,11.23,9.15079e-05,2012-10-20 18:14:00,-66,57_cve
43.27,-120.36,57.87,11.23,9.150790000000001e-05,2012-10-20 18:14:00,20,57_cvw
49.39,-82.32,61.47,14.23,9.15079e-05,2012-10-20 18:14:00,-178,57_kap
52.16,-106.53,63.3,12.23,9.150790000000001e-05,2012-10-20 18:14:00,-2,57_sas
53.98,-122.59,68.07,11.23,9.15079e-05,2012-10-20 18:14:00,-42,57_pgr
38.86,-99.39,138.66,21.98,8.76464e-05,2012-01-23 03:59:00,360,58_fhe
38.86,-99.39,138.66,21.98,8.76464e-05,2012-01-23 03:59:00,-156,58_fhw
43.27,-120.36,122.4,19.98,8.76464e-05,2012-01-23 03:59:00,-360,58_cve
53.32,-60.46,146.16,23.98,8.76464e-05,2012-01-23 03:59:00,176,58_gbr
49.39,-82.32,143.92,22.98,8.76464e-05,2012-01-23 03:59:00,-360,58_kap
37.93,-75.47,42.31,12.73,8.5254e-05,2012-03-10 17:44:00,-240,59_wal
37.1,-77.95,41.15,12.73,8.5254e-05,2012-03-10 17:44:00,-234,59_bks
38.86,-99.39,45.05,11.73,8.5254e-05,2012-03-10 17:44:00,-278,59_fhe
49.39,-82.32,53.12,12.73,8.5254e-05,2012-03-10 17:44:00,-360,59_kap
52.16,-106.53,59.2,11.73,8.5254e-05,2012-03-10 17:44:00,-360,59_sas
53.98,-122.59,66.23,9.73,8.5254e-05,2012-03-10 17:44:00,-210,59_pgr
37.93,-75.47,41.06,13.68,7.97872e-05,2012-03-13 17:41:00,-328,60_wal
37.1,-77.95,39.92,13.68,7.97872e-05,2012-03-13 17:41:00,-296,60_bks
38.86,-99.39,44.1,12.68,7.97872e-05,2012-03-13 17:41:00,-360,60_fhe
38.86,-99.39,44.1,12.68,7.97872e-05,2012-03-13 17:41:00,-360,60_fhw
43.27,-120.36,56.82,10.68,7.97872e-05,2012-03-13 17:41:00,-228,60_cve
43.27,-120.36,56.82,10.68,7.97872e-05,2012-03-13 17:41:00,-168,60_cvw
53.32,-60.46,58.94,14.68,7.97872e-05,2012-03-13 17:41:00,-360,60_gbr
52.16,-106.53,58.22,11.68,7.97872e-05,2012-03-13 17:41:00,-360,60_sas
53.98,-122.59,65.38,10.68,7.97872e-05,2012-03-13 17:41:00,-286,60_pgr
53.98,-122.59,99.53,22.97,7.79404e-05,2012-07-19 05:58:00,-266,61_pgr
37.93,-75.47,17.28,12.53,6.94831e-05,2012-07-08 16:32:00,-272,62_wal
37.1,-77.95,17.64,12.53,6.94831e-05,2012-07-08 16:32:00,38,62_bks
38.86,-99.39,32.34,11.53,6.94831e-05,2012-07-08 16:32:00,-192,62_fhe
38.86,-99.39,32.34,11.53,6.94831e-05,2012-07-08 16:32:00,-264,62_fhw
43.27,-120.36,48.69,9.53,6.94831e-05,2012-07-08 16:32:00,-136,62_cve
43.27,-120.36,48.69,9.53,6.94831e-05,2012-07-08 16:32:00,-70,62_cvw
52.16,-106.53,42.58,10.53,6.94831e-05,2012-07-08 16:32:00,-180,62_sas
53.98,-122.59,52.19,9.53,6.94831e-05,2012-07-08 16:32:00,-172,62_pgr
38.86,-99.39,127.47,21.88,6.40267e-05,2012-03-09 03:53:00,-360,63_fhe
43.27,-120.36,111.22,19.88,6.40267e-05,2012-03-09 03:53:00,360,63_cve
43.27,-120.36,111.22,19.88,6.40267e-05,2012-03-09 03:53:00,-306,63_cvw
49.39,-82.32,129.61,22.88,6.40267e-05,2012-03-09 03:53:00,-360,63_kap
52.16,-106.53,116.47,21.88,6.40267e-05,2012-03-09 03:53:00,-360,63_sas
53.98,-122.59,106.91,19.88,6.40267e-05,2012-03-09 03:53:00,-360,63_pgr
37.93,-75.47,69.12,7.73,6.42995e-05,2012-07-05 11:44:00,-46,64_wal
38.86,-99.39,86.26,6.73,6.42995e-05,2012-07-05 11:44:00,324,64_fhe
53.32,-60.46,57.49,8.73,6.42995e-05,2012-07-05 11:44:00,-126,64_gbr
49.39,-82.32,71.32,7.73,6.42995e-05,2012-07-05 11:44:00,-222,64_kap
37.93,-75.47,52.73,16.93,6.17183e-05,2012-07-28 20:56:00,-42,65_wal
38.86,-99.39,34.9,15.93,6.17183e-05,2012-07-28 20:56:00,-148,65_fhe
38.86,-99.39,34.9,15.93,6.17183e-05,2012-07-28 20:56:00,-214,65_fhw
43.27,-120.36,26.54,13.93,6.17183e-05,2012-07-28 20:56:00,-180,65_cve
43.27,-120.36,26.54,13.93,6.17183e-05,2012-07-28 20:56:00,-130,65_cvw
52.16,-106.53,39.05,14.93,6.17183e-05,2012-07-28 20:56:00,-228,65_sas
53.98,-122.59,36.04,13.93,6.17183e-05,2012-07-28 20:56:00,-224,65_pgr
37.93,-75.47,78.64,6.87,5.69964e-05,2012-07-02 10:52:00,-28,68_wal
43.27,-120.36,69.6,18.03,5.68495e-05,2012-08-18 01:02:00,8,69_cve
43.27,-120.36,69.6,18.03,5.68495e-05,2012-08-18 01:02:00,54,69_cvw
53.98,-122.59,68.87,18.03,5.68495e-05,2012-08-18 01:02:00,-2,69_pgr
53.32,-60.46,73.46,6.92,5.5401499999999995e-05,2012-07-04 09:55:00,-156,70_gbr
53.98,-122.59,71.52,18.78,5.11623e-05,2012-05-17 01:47:00,-168,71_pgr
37.1,-77.95,55.46,14.85,5.0994399999999994e-05,2012-10-22 18:51:00,-88,72_bks
38.86,-99.39,50.69,13.85,5.09944e-05,2012-10-22 18:51:00,-62,72_fhe
38.86,-99.39,50.69,13.85,5.0994399999999994e-05,2012-10-22 18:51:00,-58,72_fhw
43.27,-120.36,56.05,11.85,5.09944e-05,2012-10-22 18:51:00,-46,72_cve
49.39,-82.32,64.41,14.85,5.0994399999999994e-05,2012-10-22 18:51:00,-98,72_kap
53.98,-122.59,66.73,11.85,5.09944e-05,2012-10-22 18:51:00,-70,72_pgr
37.93,-75.47,61.01,8.53,4.8581e-05,2012-05-09 12:32:00,-256,73_wal
37.1,-77.95,62.99,8.53,4.8581e-05,2012-05-09 12:32:00,200,73_bks
38.86,-99.39,79.39,7.53,4.8581e-05,2012-05-09 12:32:00,-12,73_fhe
37.93,-75.47,65.24,18.15,4.69232e-05,2012-07-04 22:09:00,-34,75_wal
38.86,-99.39,46.54,17.15,4.69232e-05,2012-07-04 22:09:00,-178,75_fhe
38.86,-99.39,46.54,17.15,4.69232e-05,2012-07-04 22:09:00,-186,75_fhw
43.27,-120.36,32.61,15.15,4.69232e-05,2012-07-04 22:09:00,-86,75_cve
43.27,-120.36,32.61,15.15,4.69232e-05,2012-07-04 22:09:00,-88,75_cvw
49.39,-82.32,59.24,18.15,4.69232e-05,2012-07-04 22:09:00,-110,75_kap
52.16,-106.53,44.87,16.15,4.69232e-05,2012-07-04 22:09:00,-114,75_sas
53.98,-122.59,37.85,15.15,4.69232e-05,2012-07-04 22:09:00,-256,75_pgr
37.93,-75.47,57.09,17.08,4.15717e-05,2012-05-09 21:05:00,-64,76_wal
37.1,-77.95,55.09,17.08,4.15717e-05,2012-05-09 21:05:00,-66,76_bks
38.86,-99.39,39.02,16.08,4.15717e-05,2012-05-09 21:05:00,-154,76_fhe
38.86,-99.39,39.02,16.08,4.15717e-05,2012-05-09 21:05:00,-204,76_fhw
