sza,lat,fmax,dt,lt
87.54,54.6,1.4e-06,120.0,9.183333333333334
86.56,54.6,4.4e-06,240.0,9.35
77.55,54.6,0.0006500000000000001,180.0,11.783333333333333
78.01,54.6,3.5000000000000004e-05,120.0,13.316666666666666
84.99,54.6,1.2e-06,540.0,9.816666666666666
73.96,49.32,7.599999999999999e-06,120.0,10.916666666666666
71.54,62.5,2e-06,180.0,16.183333333333334
80.02,62.5,1.1e-06,240.0,12.5
96.36,62.5,2.2999999999999996e-06,1980.0,8.833333333333334
69.95,52.2,6.6e-05,420.0,11.5
65.93,49.92,6.6e-05,420.0,11.5
72.22,49.32,6.6e-05,420.0,9.5
85.3,49.92,1.2e-06,180.0,17.316666666666666
81.51,49.92,1.3e-06,60.0,16.9
65.47,54.6,2.8999999999999998e-06,300.0,14.733333333333333
67.19,49.92,2.8999999999999998e-06,240.0,15.733333333333333
93.91,54.6,6e-06,900.0,6.833333333333333
89.97,52.2,6e-06,420.0,7.833333333333333
85.08,49.92,6e-06,900.0,7.833333333333333
81.97,52.2,8.599999999999999e-06,60.0,8.733333333333333
76.93,49.92,8.599999999999999e-06,120.0,8.733333333333333
80.34,54.6,3.9e-06,120.0,8.45
70.95,49.92,3.9e-06,60.0,9.45
72.55,54.6,6.9e-06,120.0,9.5
63.46,49.92,6.9e-06,60.0,10.5
71.52,62.5,1.5000000000000002e-05,60.0,14.833333333333334
65.66,52.2,1.5000000000000002e-05,120.0,15.833333333333334
74.78,69.1,1.5000000000000002e-05,3600.0,13.266666666666667
67.54,62.5,1.5000000000000002e-05,420.0,13.266666666666667
75.4,52.2,7.699999999999999e-06,60.0,17.233333333333334
88.32,68.3,5.6e-06,180.0,18.966666666666665
73.02,68.3,2.8999999999999998e-06,60.0,14.7
70.31,62.5,2.8999999999999998e-06,120.0,14.7
76.2,68.3,0.00015000000000000001,360.0,16.266666666666666
77.49,62.5,0.00015000000000000001,360.0,16.266666666666666
75.38,52.2,0.00015000000000000001,360.0,17.266666666666666
93.23,54.6,4.7e-06,240.0,6.75
73.15,49.92,1.1000000000000001e-05,60.0,16.683333333333334
62.74,49.92,2.2e-06,180.0,11.15
57.1,54.6,4.2000000000000004e-05,780.0,13.633333333333333
53.45,49.92,4.2000000000000004e-05,780.0,14.633333333333333
78.39,49.92,5.2e-06,120.0,18.4
69.26,62.5,1.3e-06,420.0,9.75
95.25,62.5,1.8e-06,60.0,21.75
100.25,62.5,1.3e-06,60.0,22.683333333333334
101.3,62.5,2.6e-06,540.0,3.7666666666666666
102.46,62.5,1.5e-06,180.0,2.25
59.1,62.5,4.8e-06,420.0,17.5
94.39,62.5,1.4e-06,60.0,0.5166666666666667
77.29,54.6,3e-06,300.0,20.016666666666666
38.83,52.2,1.4e-06,60.0,15.0
74.6,82.52,2.4999999999999998e-06,120.0,5.333333333333333
79.65,82.52,1.3e-06,360.0,1.9833333333333334
52.06,54.6,2.2e-06,60.0,10.6
38.26,52.2,3.5000000000000004e-05,420.0,12.166666666666666
49.84,52.2,7.699999999999999e-06,60.0,16.15
59.06,54.6,2.4e-06,240.0,9.75
95.77,68.3,2.4e-06,180.0,3.6166666666666667
78.41,47.6,2.4e-06,60.0,7.116666666666666
94.48,68.3,6.099999999999999e-06,780.0,4.5
106.4,62.5,4e-06,2100.0,23.616666666666667
120.43,52.2,9.199999999999998e-06,1620.0,0.38333333333333336
52.41,49.32,0.00021,60.0,15.333333333333334
72.47,69.1,0.00018,60.0,16.633333333333333
64.77,68.3,0.00018,60.0,16.633333333333333
63.2,52.2,0.00018,120.0,16.633333333333333
55.01,49.32,0.00018,180.0,15.633333333333333
61.98,52.2,6.7e-05,60.0,9.766666666666667
68.05,49.32,6.7e-05,60.0,8.766666666666667
97.87,74.7,1.1000000000000001e-05,240.0,5.0
56.37,52.2,3.1e-05,120.0,11.416666666666666
78.18,74.7,5.8e-05,120.0,15.6
64.22,62.5,5.8e-05,60.0,14.6
128.98,47.6,9.499999999999999e-06,240.0,23.283333333333335
59.55,52.2,4.8e-06,360.0,10.916666666666666
68.25,62.5,2.6e-06,120.0,12.95
112.73,62.5,1.6000000000000003e-05,900.0,21.416666666666668
92.95,62.5,1.5e-06,540.0,8.75
89.64,62.5,5.2e-06,180.0,17.366666666666667
91.9,68.3,4.4e-06,120.0,18.3
70.36,52.2,0.00019,60.0,14.45
132.87,62.5,2.6e-06,1200.0,1.3166666666666667
134.82,62.5,2.4999999999999998e-06,480.0,0.8333333333333334
134.84,62.5,1.4e-06,240.0,23.733333333333334
104.94,82.52,1.8e-06,1020.0,15.216666666666667
106.44,82.52,1.3e-06,120.0,5.833333333333333
83.81,62.5,1.2e-06,300.0,13.35
