lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
50.02,-96.04,110.81,3.08,0.00073945,2011-08-09 08:05:00.000,2011-08-09 07:58:00.167,2011-08-09 07:58:39.000,38.83,0_pina
61.76,-121.23,102.32,2.08,0.00073945,2011-08-09 08:05:00,2011-08-09 07:58:00.167000,2011-08-09 08:00:19,138.83,0_fsim
69.54,-93.55,109.6,18.93,0.000231631,2011-02-15 01:56:00,2011-02-15 01:48:48.610000,2011-02-15 01:50:12,83.39,1_talo
64.05,-139.11,91.65,17.93,0.000231631,2011-02-15 01:56:00,2011-02-15 01:48:48.610000,2011-02-15 01:51:32,163.39,1_daws
53.86,-94.66,112.56,19.93,0.000231631,2011-02-15 01:56:00,2011-02-15 01:48:48.610000,2011-02-15 01:52:07,198.39,1_isll
69.54,-93.55,74.48,16.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:27,105.48,2_talo
62.82,-92.11,72.4,17.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:17,95.48,2_rank
50.02,-96.04,65.79,17.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:12,90.48,2_pina
56.38,-94.64,68.85,17.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:12,90.48,2_gill
64.05,-139.11,58.9,15.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:12,90.48,2_daws
61.76,-121.23,60.91,16.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:12,90.48,2_fsim
60.02,-111.95,62.87,16.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:12,90.48,2_fsmi
58.22,-103.68,65.29,16.33,0.00021585,2011-09-06 22:20:00,2011-09-06 22:16:41.520000,2011-09-06 22:18:12,90.48,2_rabb
