lat,lon,sza,lt,fmax,event,dt,pk
50.02,-96.04,110.81,3.08,0.00073945,2011-08-09 08:05:00,-236,0_pina
61.76,-121.23,102.32,2.08,0.00073945,2011-08-09 08:05:00,-158,0_fsim
69.54,-93.55,109.6,18.93,0.000231631,2011-02-15 01:56:00,-170,1_talo
64.05,-139.11,91.65,17.93,0.000231631,2011-02-15 01:56:00,360,1_daws
53.86,-94.66,112.56,19.93,0.000231631,2011-02-15 01:56:00,160,1_isll
69.54,-93.55,74.48,16.33,0.00021585,2011-09-06 22:20:00,294,2_talo
62.82,-92.11,72.4,17.33,0.00021585,2011-09-06 22:20:00,54,2_rank
50.02,-96.04,65.79,17.33,0.00021585,2011-09-06 22:20:00,50,2_pina
56.38,-94.64,68.85,17.33,0.00021585,2011-09-06 22:20:00,332,2_gill
64.05,-139.11,58.9,15.33,0.00021585,2011-09-06 22:20:00,46,2_daws
61.76,-121.23,60.91,16.33,0.00021585,2011-09-06 22:20:00,46,2_fsim
60.02,-111.95,62.87,16.33,0.00021585,2011-09-06 22:20:00,50,2_fsmi
58.22,-103.68,65.29,16.33,0.00021585,2011-09-06 22:20:00,50,2_rabb
56.66,-111.21,61.07,16.33,0.00021585,2011-09-06 22:20:00,50,2_mcmu
50.02,-96.04,114.23,4.67,0.00019117,2011-09-24 09:40:00,210,3_pina
64.05,-139.11,116.09,2.67,0.00019117,2011-09-24 09:40:00,-236,3_daws
61.76,-121.23,115.62,3.67,0.00019117,2011-09-24 09:40:00,-18,3_fsim
69.54,-93.55,88.33,14.45,0.00020418200000000002,2011-11-03 20:27:00,96,4_talo
62.82,-92.11,83.47,15.45,0.000204182,2011-11-03 20:27:00,-2,4_rank
50.02,-96.04,71.95,15.45,0.00020418200000000002,2011-11-03 20:27:00,82,4_pina
56.38,-94.64,77.6,15.45,0.000204182,2011-11-03 20:27:00,72,4_gill
64.05,-139.11,79.37,13.45,0.00020418200000000002,2011-11-03 20:27:00,92,4_daws
61.76,-121.23,77.22,14.45,0.000204182,2011-11-03 20:27:00,84,4_fsim
60.02,-111.95,76.64,14.45,0.00020418200000000002,2011-11-03 20:27:00,92,4_fsmi
58.22,-103.68,76.63,14.45,0.000204182,2011-11-03 20:27:00,-4,4_rabb
53.86,-94.66,75.56,15.45,0.00020418200000000002,2011-11-03 20:27:00,-2,4_isll
56.66,-111.21,73.61,14.45,0.000204182,2011-11-03 20:27:00,110,4_mcmu
69.54,-93.55,76.31,16.63,0.00018487400000000002,2011-09-07 22:38:00,136,5_talo
62.82,-92.11,74.71,17.63,0.000184874,2011-09-07 22:38:00,136,5_rank
50.02,-96.04,68.88,17.63,0.00018487400000000002,2011-09-07 22:38:00,142,5_pina
56.38,-94.64,71.56,17.63,0.000184874,2011-09-07 22:38:00,148,5_gill
64.05,-139.11,60.01,15.63,0.00018487400000000002,2011-09-07 22:38:00,-60,5_daws
61.76,-121.23,62.72,16.63,0.000184874,2011-09-07 22:38:00,-60,5_fsim
60.02,-111.95,65.03,16.63,0.00018487400000000002,2011-09-07 22:38:00,-314,5_fsmi
58.22,-103.68,67.74,16.63,0.000184874,2011-09-07 22:38:00,142,5_rabb
